"filename", "language", "TypeScript", "Less", "HTML", "GraphQL", "CSS", "XML", "comment", "blank", "total"
"f:\VKR\app\frontend\src\app\modules\landing\home\home.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 4, 18
"f:\VKR\app\frontend\src\app\modules\services\add-service\add-service.component.html", "HTML", 0, 0, 53, 0, 0, 0, 0, 8, 61
"f:\VKR\app\frontend\src\app\modules\services\add-service\add-service.component.ts", "TypeScript", 74, 0, 0, 0, 0, 0, 0, 12, 86
"f:\VKR\app\frontend\src\app\modules\services\services-routing.module.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 3, 20
"f:\VKR\app\frontend\src\app\modules\services\services.component.html", "HTML", 0, 0, 203, 0, 0, 0, 1, 7, 211
"f:\VKR\app\frontend\src\app\modules\services\services.component.ts", "TypeScript", 159, 0, 0, 0, 0, 0, 4, 23, 186
"f:\VKR\app\frontend\src\app\modules\services\services.graphql", "GraphQL", 0, 0, 0, 50, 0, 0, 0, 3, 53
"f:\VKR\app\frontend\src\app\modules\services\services.module.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 1, 5, 46
"f:\VKR\app\frontend\src\app\modules\services\services.service.ts", "TypeScript", 95, 0, 0, 0, 0, 0, 34, 14, 143
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\advanced-dynamic-filter.component.html", "HTML", 0, 0, 26, 0, 0, 0, 19, 3, 48
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\advanced-dynamic-filter.component.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 8, 11, 66
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\advanced-dynamic-filter.module.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 1, 4, 51
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\dynamic-filter-base.class.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 27, 4, 85
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\dynamic-filter-control.service.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 10, 5, 50
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\dynamic-filter-item.component.html", "HTML", 0, 0, 97, 0, 0, 0, 7, 11, 115
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\dynamic-filter-item.component.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 5, 17
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\dynamic-filter.service.ts", "TypeScript", 212, 0, 0, 0, 0, 0, 8, 39, 259
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 1, 3
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\inputs\dynamic-filter-combobox.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\inputs\dynamic-filter-countbox.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\inputs\dynamic-filter-date.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 3, 7
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\inputs\dynamic-filter-dateRange.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\inputs\dynamic-filter-dropdown.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\inputs\dynamic-filter-inputRange.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\inputs\dynamic-filter-textbox.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"f:\VKR\app\frontend\src\app\shared\components\advanced-dynamic-filter\inputs\index.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 7
"f:\VKR\app\frontend\src\app\shared\components\advanced-table\advanced-table.component.html", "HTML", 0, 0, 138, 0, 0, 0, 1, 5, 144
"f:\VKR\app\frontend\src\app\shared\components\advanced-table\advanced-table.component.ts", "TypeScript", 136, 0, 0, 0, 0, 0, 51, 37, 224
"f:\VKR\app\frontend\src\app\shared\components\advanced-table\advanced-table.module.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 7, 36
"f:\VKR\app\frontend\src\app\shared\components\advanced-table\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 2, 3
"f:\VKR\app\frontend\src\app\shared\components\button-with-dropdown\button-dropdown.component.html", "HTML", 0, 0, 49, 0, 0, 0, 0, 0, 49
"f:\VKR\app\frontend\src\app\shared\components\button-with-dropdown\button-dropdown.component.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 10, 29
"f:\VKR\app\frontend\src\app\shared\components\button-with-dropdown\button-dropdown.module.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 5, 31
"f:\VKR\app\frontend\src\app\shared\components\button-with-dropdown\buttonWithDropdown.interface.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 1, 9
"f:\VKR\app\frontend\src\app\shared\components\dialog\delete-confirm\delete-confirm.component.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 1, 2
"f:\VKR\app\frontend\src\app\shared\components\dialog\delete-confirm\delete-confirm.component.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 3, 11
"f:\VKR\app\frontend\src\app\shared\components\file-input\file-input.component.html", "HTML", 0, 0, 26, 0, 0, 0, 0, 4, 30
"f:\VKR\app\frontend\src\app\shared\components\file-input\file-input.component.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 9, 59
"f:\VKR\app\frontend\src\app\shared\components\file-input\file-input.module.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 5, 28
"f:\VKR\app\frontend\src\app\shared\components\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 2, 0, 3
"f:\VKR\app\frontend\src\app\shared\components\layout\error-access\error-access.component.css", "CSS", 0, 0, 0, 0, 11, 0, 0, 3, 14
"f:\VKR\app\frontend\src\app\shared\components\layout\error-access\error-access.component.html", "HTML", 0, 0, 4, 0, 0, 0, 0, 1, 5
"f:\VKR\app\frontend\src\app\shared\components\layout\error-access\error-access.component.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 5, 17
"f:\VKR\app\frontend\src\app\shared\components\layout\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1, 2
"f:\VKR\app\frontend\src\app\shared\components\layout\page404.component.html", "HTML", 0, 0, 124, 0, 0, 0, 2, 3, 129
"f:\VKR\app\frontend\src\app\shared\components\layout\page404.component.less", "Less", 0, 7, 0, 0, 0, 0, 0, 0, 7
"f:\VKR\app\frontend\src\app\shared\components\layout\page404.component.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 3, 18
"f:\VKR\app\frontend\src\app\shared\directives\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\VKR\app\frontend\src\app\shared\directives\show-authed.directive.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 1, 7, 39
"f:\VKR\app\frontend\src\app\shared\index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 1, 4
"f:\VKR\app\frontend\src\app\shared\pipes\age-string.pipe.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 0, 3, 66
"f:\VKR\app\frontend\src\app\shared\pipes\array-to-any-array.pipe.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 1, 11
"f:\VKR\app\frontend\src\app\shared\pipes\check-null.pipe.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 1, 16
"f:\VKR\app\frontend\src\app\shared\pipes\format-pet-gender.pipe.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 1, 19
"f:\VKR\app\frontend\src\app\shared\pipes\index.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 4, 9
"f:\VKR\app\frontend\src\app\shared\pipes\safe-html.pipe.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 2, 12
"f:\VKR\app\frontend\src\app\shared\shared.module.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 2, 11
"f:\VKR\app\frontend\src\app\shared\utils\default-day-range-periods.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 3, 34
"f:\VKR\app\frontend\src\assets\images\vet_background.svg", "XML", 0, 0, 0, 0, 0, 1632, 1, 2, 1635
"f:\VKR\app\frontend\src\environments\environment.prod.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 1, 4
"f:\VKR\app\frontend\src\environments\environment.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 11, 3, 18
"f:\VKR\app\frontend\src\graphql\generated.ts", "TypeScript", 1351, 0, 0, 0, 0, 0, 20, 267, 1638
"f:\VKR\app\frontend\src\index.html", "HTML", 0, 0, 13, 0, 0, 0, 0, 1, 14
"f:\VKR\app\frontend\src\main.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 3, 8
"f:\VKR\app\frontend\src\styles.less", "Less", 0, 55, 0, 0, 0, 0, 4, 14, 73
"f:\VKR\app\frontend\src\test-setup.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1, 2
"Total", "-", 6811, 133, 2972, 420, 11, 1632, 774, 1351, 14104
